
Cla;Fte;Especie;Serie;Emisor;   Titulo;TC;Cod. Bolsa;ISIN;Calif.;Cod;Emision;F.Vcto;Nominal Actual;Facial;Mod;F.Compra;       Valor Compra Origen;      Moneda Origen;Moned;              Valor Compra;T.Compra;          Valor TIR;    TIR;                Valor Mercado;  T.Mer;  Dias;Met;          Precio;Tasa; Vr.Tasa;  Margen; T.Dcto;Es;FG;FV;Por;Flujo;Nemotecnico;clase;tipo;CEmis;C.Emision;C.Serie;MCont;C.Precio;Duracion Macaulay
---;---;------------------------------;---------------;---------------;---------;--;---------------;--------------------;----------;---;--------;--------;-----------------------------------;---------------;---;--------;--------------------------;-------------------;-----;--------------------------;--------;-------------------;-------;-----------------------------;-------;------;-----;----------------;-----;--------;--------;-------;--;--------;--;-------;-----;--------------------;-----;----;-----;---------;--------;-----;--------;-----------------
Neg;1CP;ACC PR SURA;No Aplica;CIA SURAME.INV;   590706;;PFGRUPSURA;COT13PA00060;No def.;No;20250203;;                  5,699.000000;No aplica;NAp;20250203;        159,801,378.908525;      28,040.248975;$;        159,801,378.908525;;;;           218,271,700.000000; 663.18;     0;MC1-I;     38,300.0000;APFSI;;;;RE;;; P26-AC;;;A;PF;SI;99;99;HFA;;            .0000
Neg;1CP;ACC PR SURA;No Aplica;CIA SURAME.INV;   590710;;PFGRUPSURA;COT13PA00060;No def.;No;20250204;;                  1,647.000000;No aplica;NAp;20250204;         46,148,281.200000;      28,019.600000;$;         46,148,281.200000;;;;            63,080,100.000000; 695.79;     0;MC1-I;     38,300.0000;APFSI;;;;RE;;; P22-AC;;;A;PF;SI;99;99;HFA;;            .0000
Neg;1CP;ACC PREF GRUP.AVAL;No Aplica;GRUPO AVAL ACCI;   589182;;PFAVAL;COT29PA00058;AAA;02;20240515;;                 49,137.000000;No aplica;NAp;20240515;         23,112,865.512000;         470.376000;$;         23,112,865.512000;;;;            27,664,131.000000;  22.76;     0;MC1-I;        563.0000;APFAG;;;;RE;;; P26-AC;;;A;PF;AG;99;99;HFA;;            .0000
Neg;1CP;ACC PREF GRUP.AVAL;No Aplica;GRUPO AVAL ACCI;   590215;;PFAVAL;COT29PA00058;AAA;02;20241203;;                 60,187.000000;No aplica;NAp;20241203;         27,406,993.068000;         455.364000;$;         27,406,993.068000;;;;            33,885,281.000000;  92.77;     0;MC1-I;        563.0000;APFAG;;;;RE;;; P26-AC;;;A;PF;AG;99;99;HFA;;            .0000
Neg;1CP;ACC PREF GRUP.AVAL;No Aplica;GRUPO AVAL ACCI;   590271;;PFAVAL;COT29PA00058;AAA;02;20241211;;                 14,181.000000;No aplica;NAp;20241211;          6,400,747.504800;         451.360800;$;          6,400,747.504800;;;;             7,983,903.000000; 108.21;     0;MC1-I;        563.0000;APFAG;;;;RE;;; P26-AC;;;A;PF;AG;99;99;HFA;;            .0000
Neg;1CP;ACC PREF GRUP.AVAL;No Aplica;GRUPO AVAL ACCI;   590623;;PFAVAL;COT29PA00058;AAA;02;20240523;;                  6,259.000000;No aplica;NAp;20240523;          2,912,472.304500;         465.325500;$;          2,912,472.304500;;;;             3,523,817.000000;  24.97;     0;MC1-I;        563.0000;APFAG;;;;RE;;; P26-AC;;;A;PF;AG;99;99;HFA;;            .0000
Neg;1CP;ACC PREF GRUPO ARGOS;No Aplica;GRUPO ARGOS;   590697;;PFGRUPOARG;COT09PA00043;Acciones;06;20250203;;                  7,923.000000;No aplica;NAp;20250203;        115,618,120.536231;      14,592.719997;$;        115,618,120.536231;;;;           127,560,300.000000;  89.78;     0;MC1-I;     16,100.0000;APACA;;;;RE;;; P26-AC;;;A;PA;CA;99;99;HFA;;            .0000
Neg;1CP;ACC PREF GRUPO ARGOS;No Aplica;GRUPO ARGOS;   590836;;PFGRUPOARG;COT09PA00043;Acciones;06;20250221;;                  2,200.000000;No aplica;NAp;20250221;         33,023,100.000000;      15,010.500000;$;         33,023,100.000000;;;;            35,420,000.000000;  96.02;     0;MC1-I;     16,100.0000;APACA;;;;RE;;; P26-AC;;;A;PA;CA;99;99;HFA;;            .0000
Neg;1CP;ACC PREF GRUPO ARGOS;No Aplica;GRUPO ARGOS;   590838;;PFGRUPOARG;COT09PA00043;Acciones;06;20250221;;                  3,295.000000;No aplica;NAp;20250221;         49,459,597.500000;      15,010.500000;$;         49,459,597.500000;;;;            53,049,500.000000;  96.02;     0;MC1-I;     16,100.0000;APACA;;;;RE;;; P22-AC;;;A;PA;CA;99;99;HFA;;            .0000
